pincode,circle,region,division,offices
627102,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Dohnavur SO, Puliyurkurichi BO, Sengalakurichi BO, Vadukachimadil BO"
627103,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Eruvadi SO, Kodaiseri BO, Tiruvengadanathapuram BO"
627104,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Idindakarai SO, Kuthenkuli BO, Vijayapathi BO"
627105,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Kavalkinaru SO
627106,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kudankulam SO, Erukkanthurai BO, Perumanal BO"
627107,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Mavadi SO, Kovilammalpuram BO, Naduchalaipudur BO, Salainainarpallivasal BO"
627108,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Nanguneri SO, Battarpuram BO, Emankulam BO, Kadamboduvalvu BO, Kannanallur BO, Karankadu BO, Shenbagaramanallur BO, Singaneri BO, Surangudi BO, Unnankulam BO"
627109,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Panagudi SO, Kalandapanai BO, Pushpavanam BO, Sriregunathapuram BO, Vadakkuveppilankulam BO"
627110,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Parappadi SO, Elankulam BO, Panrimalai BO, Pappankulam BO"
627111,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Radhapuram SO, Chidambarapuram BO, Kakkarai BO, Nakkaneri BO, Parameswarapuram BO, Tiruvembalapuram BO, Udayathur BO"
627112,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Samugarengapuram SO, Duraikudiyiruppu BO, Kasthurirengapuram BO, Kottai Karungulam BO, Seelathikulam BO"
627113,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Terkukallikulam SO, A Thirumalapuram BO, Moolaikadu BO, Soundarapandiapuram BO"
627114,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Terkukarungulam SO, Jacobpuram BO, Levinjipuram BO, Palavoor BO, Rajakrishnapuram BO, Sankanapuram BO"
627115,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tirukurungudi SO, Nambithalaivanpattaiyam BO"
627116,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Vadakangulam SO, Danakkarkulam BO, Koliyankulam BO, Sembikulam BO, Uralvoimozhi BO"
627117,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Vallioor SO, Achampadu BO, Anaikulam BO, Kizhavaneri BO, Terku Vallioor BO, Vadalivilai BO, Valliammalpuram BO, Vallioor Perundunilayam SO"
627118,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Vijayanarayanam SO, Sankanankulam BO, Terku Vijayanarayanam BO, Venkatarayapuram BO"
627119,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vijayanarayanam Naval Base SO
627120,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Anuvijay Township SO, Settikulam BO"
627127,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kuttapuli SO, Kannankulam BO"
627133,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Mahendragiri SO, Avaraikulam BO, Perungudi BO"
627151,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Maruthakulam SO, ASatankulam BO, Karuppukatti BO, Kovaikulam BO, Ponnagudi BO, Thottakudi BO"
627152,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Mundradaippu SO, Karandaneri BO, Keela Kaduvetti BO, Melasadayamankulam BO, Panankulam BO, Sengulam BO, Singikulam BO, Tidiyur BO"
627201,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Manur SO, Alagiapandiapuram BO, Ettankulam BO, Kalakudi BO, Kanarpatti BO, Kattarankulam BO, Madhavakurichi BO, Mavadi BO, Pillayarkulam BO, Therkupatti BO"
627202,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ukkirankottai SO, Kaduvetti BO, Vagaikulam BO"
627351,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Burkitmanagaram SO, Kilapattam BO, Marudur BO, Melakulam BO, Melapattam BO, Melaputhaneri BO, Naduvakkurichi BO, Sivalaperi BO"
627352,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Gangaikondan SO, Kilakottai Kailasapuram BO, Kodiankulam BO, Piranjeri BO, Rajapudukudi BO, Seliyanallur BO, Veppankulam BO"
