pincode,circle,region,division,offices
627859,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Anaikulam B.O, Bungalowsurandai B.O, E.Meenakshipuram B.O, Kadayalurutti B.O, Kulayaneri B.O, Parankundrapuram B.O, Surandai S.O"
627860,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Uthumalai S.O, Karuvanda B.O, Kilakalangal B.O, Kurichanpatti B.O, Melakalangal B.O, Melamarudappapuram B.O, Rukmaniammalpuram B.O"
627861,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Achankuttam B.O, Kaluneerkulam B.O, Rajagopalaperi B.O, Vadi B.O, Veeranam B.O, Virakeralmpudur S.O"
627862,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Virasigamani S.O, Alkondarkulam B.O, Ariyanayagipuram B.O, Kilavirasigamani B.O, Kulasekaramangalam B.O, Naduvakurichi B.O, Pambukoilshandy B.O, Poigai B.O, Vadanathampatti B.O"
627951,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Devarkulam S.O, Chocknatchiapuram B.O, Melailanthaikulam B.O, Muthammalpuram B.O, Muvirunthali B.O, Northachampatti B.O, Vannikonendal B.O"
627953,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Melanilithanallur S.O, Balapadraramapuram B.O, Kilanilithanallur B.O, Komarudappapuram B.O, Kurukkalpatti B.O, Marukkalankulam B.O, Maruthankinar B.O, Melanarikudi B.O, Panavadalichatram B.O, Periyakoilankulam B.O, Ramanathapuram(SNL) B.O"
628001,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin H.O, Tuticorin Cathedral S.O, Tuticorin Keelur S.O, Vadakkur Tuticorin S.O, Vetrivelpuram S.O, Cruz Fernandespuram B.O"
628002,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Melur Tuticorin S.O, Arockiapuram B.O, Mappillaiyurani B.O, Melaarasadi B.O, Milavittan R S B.O, Sankaraperi B.O, Siluvaipatti B.O, Therkuvirapandiapuram B.O, Pudurpandiapuram B.O, Alagesapuram S.O, Polenaickenpettai S.O, Tuticorin Central Bus Stand S.O, Victoria Extension Road S.O, Toovipuram B.O"
628003,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"New Colony S.O (Tuticorin), Tuticorin courts S.O"
628004,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tuticorin Harbour Estate S.O, Tt. Thermal Power Plant S.O"
628005,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Muthiahpuram S.O, Athimarapatti B.O, Mullaakadu B.O"
628006,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Thermal Nagagr S.O
628007,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Heavy Water Project Colony S.O
628008,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Chidambaranagar S.O, Madathur B.O, Levingipuram B.O, Millerpuram S.O, Puthukudi 3rd Mile B.O"
628101,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Korampollam S.O, Maravanmadam B.O, Periyanayagipuram B.O"
628102,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudittanendal S.O, Mudittanendal Pudur B.O, Thimmarajapuraam B.O, Varthagareddipatti B.O"
628103,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pudukottai S.O, Kootampuli B.O, Kulayankarisal B.O, Mangalagiri B.O, Melakootudankadu B.O, Servaikaranmadam B.O, Therkusilukkanpatti B.O"
628104,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sekkarakudi S.O, Chockalingapuram B.O, Kollampirambu dalavaipuram B.O"
628105,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Taruvaikulam S.O, Duraisamypuram B.O"
628151,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Autoor S.O, Keeranur B.O, Mela Autoor B.O, Mukkani B.O, Omarikadu B.O, Punnakayal B.O, Sendamangalam B.O, Therku Autoor B.O"
628152,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pazhaiyalkayal S.O, Agaram B.O, Kovankadu B.O"
628201,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Ammanpuram S.O, Kanam B.O, Melaputhukudi B.O, Moolakarai B.O, Sonaganvilai B.O"
628202,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Arumuganeri S.O, Kandasamypuram B.O, Peyanvilai B.O, Rajamaniapuram B.O, Lakshmimanagaram B.O"
628203,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Udangudi Christianagaram S.O, Meyoor B.O, Settiapathu B.O, Uthiramadankudiyiruppu B.O, Vedakottaivilai B.O, Kalankudiyiruppu B.O, Kootankadu B.O, Pudumanai B.O"
628204,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayalpatnam S.O, Kayalpatnam Bazaar B.O"
