pincode,circle,region,division,offices
628251,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Sawyerpuram S.O, Iruvappapuram B.O, Kattalangulam B.O, Kothalarivilai B.O, Naduvakurichi B.O, Sebathiahpuram B.O, Subramaniapuram B.O, Valasakaran Vilai B.O"
628252,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Vallanad S.O, Kaliyavoor B.O, Murappanad B.O, Vasavappapuram B.O"
628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O, Paraikuttam B.O, Savarimangalam B.O, Umarikottai B.O"
628302,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Ottanatham S.O, Kollankinar B.O, Maniyac R.S. B.O, Muramban B.O"
628303,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Naraikinar S.O, Akkanaickenpatti B.O, Marudanvalvoo B.O, Puliyampatti B.O, Puvani B.O, Savalaperi B.O"
628304,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Tattaparai S.O, Keelatattaparai B.O, Melatattaparai B.O"
628401,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Otapidaram S.O, Akilandapuram B.O, Katcheri Dhalavaipuram B.O, Kilamudiman B.O, Kulasekaranallur B.O, Vellaram B.O"
628402,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Pudiyamputhur S.O, Jambulingapuram B.O, Nainapuram B.O, Pudupatcheri B.O, Swaminatham B.O"
628501,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kovilpatti H.O, Kovilpatti Town S.O"
628502,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Lakshmipuram S.O (Tuticorin), Avalnatham B.O, Ayyaneri B.O, Chitrampatti B.O, East Pandavarmangalam B.O, G.V.N.Kalluri B.O, Illupaiyurani B.O, Lingampatti B.O, Manthithope B.O, Uthupatti B.O, Vijayapuri B.O, Kovilpatti Indl.Estate B.O, Kovilpatti North B.O, Kovilpatti R.S B.O"
628503,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"K.R.Nagar S.O, Alampatti B.O, Padanthapuli 2 B.O"
628552,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kalugumalai S.O, Chettikurichi B.O, K.Karisalkulam B.O, Karadikulam B.O, Naickerpatti B.O, Pazhankottai B.O, Sambakulam B.O, Sayamalai B.O, Velayuthapuram B.O, Vellapaneri B.O, Venkatesawarapuram B.O"
628601,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Srivaikuntam H.O
628612,Tamilnadu circle,"Southern Region, Madurai",Tuticorin Division,"Alwarthope West B.O, Alwartirunagari S.O, Appankoil B.O, Tirukkalur B.O, Alwartirunagari West B.O"
628613,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Asirvathapuram S.O, Karunkadal B.O, Kattarimangalam B.O, Mirankulam B.O, Palaniappapuram B.O, Puliankulam B.O, Savariarpuram B.O, Therkankulam B.O"
628614,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Campbellabad S.O, Kadayanodaiai B.O"
628615,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,Karungulam S.O
628616,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mukuperi S.O, Oyyangudi B.O, Nazareth R S B.O"
628617,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Nazareth S.O, Chinnamadankudiyiruppu B.O, Eluvaraimukki B.O, Kurippankulam B.O, Thailapuram B.O, Udayarkulam B.O, Vellamadam B.O, Pillaiyanmanai B.O"
628618,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Neivilai S.O, Katchanavilai B.O, Pattakarai B.O"
628619,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Padmanabamangalam S.O, Alwarkarkulam B.O, Kongarayankurichi B.O, Manakarai B.O, Arampannai B.O"
628620,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Patemanagaram S.O, Parakkiramapandi B.O, Perur B.O, Srimoolakarai B.O"
628621,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Puthukudi S.O, Ariyanayagipuram B.O, Athalikulam B.O, Athichanallur B.O, Sriparangusanallur B.O, Tirupuliyangudi B.O, Velur B.O"
628622,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Thathankulam S.O, Cherakulam B.O, Kalvoy B.O, Ramanujampudur B.O, Vallakulam B.O"
628623,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Thenthiruperai S.O, Kurangani B.O, Kurukattur B.O"
628653,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kommadikottai S.O, Kolunthuthattu B.O, Naduvakurichi B.O, Nallur kommadikottai B.O, Polayarpuram B.O, Puchikadu B.O, Sokkankudiyiruppu B.O, Tattarmadam B.O"
628656,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Puthantharuvai S.O, Idaichivilai B.O, Kadakulam B.O, Thatchanvilai B.O"
628701,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Anandapuram S.O (Tuticorin), Ambalaseri B.O, Chettikulam B.O, Karuvelampadu B.O, Palankulam B.O, Theripanai B.O"
628702,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Mudalur S.O, Anbinnagaram B.O, Kadashapuram B.O, Pothakalanvilai B.O, Subbarayapuram B.O, Subramaniapuram B.O, Thoppuvalam B.O"
628703,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Padukkapathu S.O, Alagappapuram B.O, Pallakurichi B.O, Periyathalai B.O, Pitchivilai B.O, Sundankottai B.O, Uyarathukudiyiruppu B.O"
628704,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Satankulam S.O, Alankinar B.O, Kalinguvilai B.O, Kombankulam B.O, Nedungulam B.O, Pandarapuram B.O, Pannamparai B.O, Pudukulam B.O, Sankarankudiyiruppu B.O, Vijayaramapuram B.O"
628712,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Eppodumvendran S.O, Adanur B.O, Arungulam B.O, K.Duraisamypuram B.O, Sakkammalpuram B.O, Sivagnanapuram B.O"
628714,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kadambur S.O (Tuticorin), Ahilandapuram B.O, Ilavelangal B.O, Kappulingampatti B.O, Kottali B.O, Kuppanapuram B.O, Kurumalai B.O, Parivillikottai B.O, Tennampatti B.O, Vadakkuvandanam B.O"
