pincode,circle,region,division,offices
627602,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Pappagudi SO, Idaikal BO, Kabaliparai BO, Odaimarichan BO, Thulukkapatti BO"
627603,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,Vadakku Ariyanayagipuram Petta SO
627604,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Suttamally SO, Narasinganallur BO, Suttamally Vilakku BO"
627651,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Idayangudi SO, Anaigudi BO, Kila Uvari BO, Kooduthalai BO, Koottapanai BO, Kuttam BO, Mudumothanmozhi BO, Uvari BO"
627652,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Ittamozhi SO, Alagappapuram BO, Suviseshapuram BO, Vijaya Achampadu BO"
627654,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Pettaikulam SO, Anaikkarai BO, Urumankulam BO"
627657,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Tisayanvillai SO, Kalikumarapuram BO, Karaichuthupudur BO, Kumarapuram BO, Kurugapuram BO, Mahadevankulam BO, Mannarpuram BO, Muthukrishnapuram BO, Navaladi BO, Samariah  BO"
627713,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Ilyarasanendal S.O, Kulakkattakurichi B.O, Maipparai B.O, Sippiparai B.O"
627719,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Tiruvengadam S.O, Alagapuri B.O, Chatrapatti B.O, Kalingapatti B.O, Karisalkulam B.O, Kurinjakulam B.O, Umaithalaivanpatti B.O, Vellakulam B.O"
627751,Tamilnadu circle,"Southern Region, Madurai",Kovilpatti Division,"Boganallur B.O, Chockammpatti B.O, Kambapacheri B.O, Kasidharmam B.O, Kumanthapuram B.O, Mangalapuram B.O, Sundaresapuram B.O, Kadayanallur S.O, Kadayanallur Bazar S.O, Kadayanallur Pettai S.O"
627753,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Karivalamvandanallur S.O, Karisathan B.O, Kulasekaraperi B.O, Kuvalaikanni B.O, Manalur B.O, Pandapuli B.O, Paruvakkudi B.O, Perumalpatti B.O, Perumpattur B.O, Reddiapatti B.O, Sennikulam B.O, Senthattiapuram B.O, Srigomathipuram B.O, Subbulapuram B.O"
627754,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Kuruvikulam S.O, Alagunatchiapuram B.O, Azhaganeri B.O, Chiambarapuram B.O, K. Alankulam B.O, Kalappakulam B.O, Perungottur B.O, Sathirakondan B.O, Sevalkulam B.O, Vagaikulam B.O"
627755,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Mullikulam S.O, Malayadikurichi B.O, Nagaram B.O, Nochikulam B.O, Ramasamipuram B.O, Thalaivankottai B.O, Vadakkupudur B.O, Vadamalapuram B.O, Veeriruppu B.O"
627756,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Sankarankovil H.O, Sankarankovil Bazaar S.O"
627757,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Sivagiri S.O (Tirunelveli), Arugankulam B.O, Devipattinam B.O, Inamkovilpatti B.O, Tenmalai B.O, Vadugapatti B.O, Viswanathaperi B.O"
627758,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Vasudevanallur S.O, Ariyur B.O, Nelkattumseval B.O, Sankanaperi B.O, Vellanaikottai B.O"
627759,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,Krishnapuram (TVL) S.O
627760,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Athuvazhi S.O, Gudalur B.O, Naranapuram B.O, Ramanathapuram(VSD) B.O"
